 30            62 
 2             4             36 
 1             54            29 
 5             24            47 
 4             22            50 
 3             20            55 
 4             51            26 
 5             17            18 
 3             49            40 
 5             44            8 
 1             8             1 
 3             43            26 
 11            38            18 
 13            10            32 
 1             24            15 
 2             14            55 
 2             19            31 
 5             46            50 
 2             19            39 
 2             42            45 
 2             14            26 
 19            22            8 
 5             25            15 
 1             52            49 
 4             16            19 
 15            22            13 
 2             2             50 
 2             25            33 
 1             5             59 
 1             28            49 
 18            7             1 
